created_at,id,text,province
Thu Nov 01 08:21:17 +0800 2018,4301460973418933,"""金庸先生笔下的小说，带领了一个时代""",12
Thu Nov 01 08:21:16 +0800 2018,4301460973418302,"""[失望]""",100
Thu Nov 01 08:21:15 +0800 2018,4301460970257645,"""下班下班后""",100
Thu Nov 01 08:21:15 +0800 2018,4301460970076828,"""。。。""",44
Thu Nov 01 08:21:14 +0800 2018,4301460966060080,"""。""",32
Thu Nov 01 08:21:13 +0800 2018,4301460961345072,"""今年。好多人离我们而去。""",44
Thu Nov 01 08:21:10 +0800 2018,4301460948748609,"""先生一路走好""",13
Thu Nov 01 08:21:09 +0800 2018,4301460948748235,"""，。？""",11
Thu Nov 01 08:21:09 +0800 2018,4301460945068583,"""！""",100
Thu Nov 01 08:21:09 +0800 2018,4301460944552942,"""走好""",44
Thu Nov 01 08:21:10 +0800 2018,4301460944049388,"""⊙∀⊙！""",100
Thu Nov 01 08:21:07 +0800 2018,4301460936672526,"""[蜡烛][蜡烛]""",23
Thu Nov 01 08:21:03 +0800 2018,4301460919877326,"""好吧""",100
Thu Nov 01 08:21:03 +0800 2018,4301460919361405,"""你们去看一个叫路知知  的微博  真的很讨厌""",11
Thu Nov 01 08:21:01 +0800 2018,4301460911300569,"""。""",36
Thu Nov 01 08:20:59 +0800 2018,4301460906665368,"""走好""",100
Thu Nov 01 08:20:59 +0800 2018,4301460903086844,"""😣😣😣😣""",51
Thu Nov 01 08:20:59 +0800 2018,4301460903085109,"""侠之大者，为国为民""",13
Thu Nov 01 08:20:59 +0800 2018,4301460902565643,"""走好""",100
Thu Nov 01 08:20:58 +0800 2018,4301460898368225,"""。""",32
Thu Nov 01 08:20:57 +0800 2018,4301460894689156,"""作品留世经久不衰，还有新的读者，那此人就相当于一只活着""",11
Thu Nov 01 08:20:55 +0800 2018,4301460886292850,"""刚刚""",37
Thu Nov 01 08:20:55 +0800 2018,4301460886112756,"""什么东东""",61
Thu Nov 01 08:20:52 +0800 2018,4301460877712839,"""[微笑]""",35
Thu Nov 01 08:20:48 +0800 2018,4301460856907204,"""姑姑""",400
Thu Nov 01 08:20:48 +0800 2018,4301460856906043,"""侠父""",100
Thu Nov 01 08:20:49 +0800 2018,4301460855940768,"""？？""",32
Thu Nov 01 08:20:46 +0800 2018,4301460847986211,"""[干杯]""",51
Thu Nov 01 08:20:46 +0800 2018,4301460847888246,"""。。。""",100
Thu Nov 01 08:20:44 +0800 2018,4301460844046313,"""泰斗已去，侠义永存""",43
Thu Nov 01 08:20:44 +0800 2018,4301460839851408,"""，。，。""",44
Thu Nov 01 08:20:43 +0800 2018,4301460835293296,"""美女谢谢你行不""",61
Thu Nov 01 08:20:41 +0800 2018,4301460827255379,"""走好""",50
Thu Nov 01 08:20:39 +0800 2018,4301460823137225,"""再见江湖大侠[悲伤][悲伤][悲伤][悲伤][悲伤]""",100
Thu Nov 01 08:20:38 +0800 2018,4301460809789540,"""[泪]""",37
Thu Nov 01 08:20:37 +0800 2018,4301460809788668,"""，""",32
Thu Nov 01 08:20:31 +0800 2018,4301460789553021,"""。。""",100
Thu Nov 01 08:20:33 +0800 2018,4301460788811730,"""天妒英才""",37
Thu Nov 01 08:20:31 +0800 2018,4301460780419667,"""[蜡烛]""",42
Thu Nov 01 08:20:28 +0800 2018,4301460772675564,"""。""",53
Thu Nov 01 08:20:27 +0800 2018,4301460768118018,"""🙏🙏🙏""",13
Thu Nov 01 08:20:26 +0800 2018,4301460763918806,"""侠义永存[蜡烛]🙏""",100
Thu Nov 01 08:20:25 +0800 2018,4301460760079836,"""侠客，一路走好。[泪][泪][泪]""",44
Thu Nov 01 08:20:25 +0800 2018,4301460759720159,"""@少女本5:。""",100
Thu Nov 01 08:20:25 +0800 2018,4301460759719752,"""，，，""",21
Thu Nov 01 08:20:23 +0800 2018,4301460746854915,"""66666666""",33
Thu Nov 01 08:20:21 +0800 2018,4301460743818359,"""一路走好""",21
Thu Nov 01 08:20:21 +0800 2018,4301460742927616,"""66688""",44
Thu Nov 01 08:20:18 +0800 2018,4301460731223802,"""嗯嗯""",100
Thu Nov 01 08:20:17 +0800 2018,4301460726134426,"""[蜡烛][蜡烛][蜡烛][蜡烛]""",100
Thu Nov 01 08:20:16 +0800 2018,4301460722828663,"""vbjhggh""",100
Thu Nov 01 08:20:16 +0800 2018,4301460722290861,"""啊""",21
Thu Nov 01 08:20:16 +0800 2018,4301460722290167,"""走好""",37
Thu Nov 01 08:20:15 +0800 2018,4301460718092777,"""。""",100
Thu Nov 01 08:20:14 +0800 2018,4301460709094625,"""。。""",100
